Date,Close,High,Low
2023-01-03,39.6,39.8,38.8
2023-01-04,39.5,40.3,39.4
2023-01-05,39.25,40.35,39.2
2023-01-06,40.1,40.3,39.5
2023-01-09,42.45,42.85,39.7
2023-01-10,41.85,42.55,41.25
2023-01-11,42.1,42.35,41.2
2023-01-12,42.75,44.35,42.5
2023-01-13,43.3,44.35,43.2
2023-01-16,43.85,44.25,43.6
2023-01-17,44.7,45.1,44.25
2023-01-30,49.15,49.15,45.25
2023-01-31,50.0,50.0,48.5
2023-02-01,52.8,53.8,49.7
2023-02-02,53.1,54.2,52.2
2023-02-03,51.2,53.0,51.0
2023-02-06,52.1,52.4,50.3
2023-02-07,53.4,53.7,51.4
2023-02-08,54.1,54.5,52.9
2023-02-09,55.6,55.7,53.2
2023-02-10,57.6,58.4,55.3
2023-02-13,56.2,57.5,55.3
2023-02-14,57.2,58.2,57.0
2023-02-15,58.2,58.5,57.1
2023-02-16,57.8,59.2,57.5
2023-02-17,57.7,58.5,57.4
2023-02-20,57.5,58.6,57.4
2023-02-21,56.1,58.2,55.5
2023-02-22,56.3,56.6,55.6
2023-02-23,58.6,58.6,56.4
2023-02-24,57.7,60.4,57.6
2023-03-01,56.2,57.5,55.8
2023-03-02,57.1,57.7,56.4
2023-03-03,56.2,57.7,56.2
2023-03-06,58.6,58.8,56.9
2023-03-07,60.2,60.2,57.9
2023-03-08,66.2,66.2,59.1
2023-03-09,72.8,72.8,67.8
2023-03-10,69.2,72.9,66.5
2023-03-13,66.4,70.9,65.0
2023-03-14,63.9,66.7,63.5
2023-03-15,67.0,69.7,65.4
2023-03-16,67.4,68.7,66.3
2023-03-17,71.0,71.0,67.7
2023-03-20,69.7,71.3,69.1
2023-03-21,67.0,71.8,66.3
2023-03-22,67.7,68.2,66.0
2023-03-23,66.8,68.0,66.5
2023-03-24,66.4,67.5,66.4
2023-03-27,69.9,70.4,66.6
2023-03-28,69.1,74.3,69.0
2023-03-29,70.3,71.1,69.2
2023-03-30,69.6,71.8,69.6
2023-03-31,69.8,70.4,69.3
2023-04-06,70.9,71.3,68.3
2023-04-07,69.8,71.3,69.6
2023-04-10,71.0,73.3,70.4
2023-04-11,71.3,71.4,69.3
2023-04-12,75.1,75.8,71.4
2023-04-13,71.8,74.8,71.8
2023-04-14,74.5,75.2,72.5
2023-04-17,76.6,77.0,73.6
2023-04-18,76.0,80.9,75.1
2023-04-19,76.1,78.2,75.5
2023-04-20,72.1,77.0,72.0
2023-04-21,69.0,73.2,68.8
2023-04-24,73.9,74.3,69.5
2023-04-25,71.7,76.5,71.7
2023-04-26,73.8,75.5,72.6
2023-04-27,75.8,77.3,73.2
2023-04-28,74.5,78.2,74.5
2023-05-02,74.7,75.2,73.5
2023-05-03,72.4,74.3,72.1
2023-05-04,71.1,73.2,70.7
2023-05-05,71.1,73.1,70.8
2023-05-08,69.7,71.8,69.7
2023-05-09,63.0,69.3,62.8
2023-05-10,64.4,64.7,63.5
2023-05-11,62.7,64.4,61.6
2023-05-12,63.4,63.7,61.6
2023-05-15,63.4,64.0,62.5
2023-05-16,65.2,65.6,63.9
2023-05-17,64.8,66.1,64.5
2023-05-18,65.5,66.1,65.2
2023-05-19,62.7,66.4,62.5
2023-05-22,63.8,64.1,62.0
2023-05-23,63.6,64.2,62.5
2023-05-24,63.2,63.6,62.7
2023-05-25,63.1,63.7,62.7
2023-05-26,61.9,64.4,61.9
2023-05-29,64.2,64.3,62.5
2023-05-30,65.0,67.6,64.3
2023-05-31,65.6,66.5,65.1
2023-06-01,66.6,67.0,64.7
2023-06-02,67.1,68.3,67.1
2023-06-05,70.2,70.5,67.3
2023-06-06,70.8,72.0,69.2
2023-06-07,69.7,71.9,69.6
2023-06-08,66.7,69.4,66.2
2023-06-09,67.1,68.5,66.9
2023-06-12,65.4,67.5,63.9
2023-06-13,64.8,66.4,64.8
2023-06-14,64.3,65.6,64.0
2023-06-15,64.3,64.7,62.8
2023-06-16,63.3,64.5,63.1
2023-06-19,63.8,64.1,62.3
2023-06-20,62.6,64.1,62.0
2023-06-21,62.7,63.5,62.2
2023-06-26,60.8,62.6,60.7
2023-06-27,60.8,61.9,60.2
2023-06-28,61.1,61.7,60.9
2023-06-29,63.1,63.4,61.3
2023-06-30,61.5,63.2,60.7
2023-07-03,60.9,61.8,60.6
2023-07-04,60.5,60.9,60.0
2023-07-05,60.2,61.4,60.2
2023-07-06,59.0,60.3,59.0
2023-07-07,58.5,59.2,57.6
2023-07-10,57.8,59.2,57.3
2023-07-11,58.0,58.7,57.4
2023-07-12,57.8,58.6,57.6
2023-07-13,59.1,59.7,56.9
2023-07-14,55.6,57.5,55.6
2023-07-17,54.5,55.8,54.1
2023-07-18,52.8,55.6,52.7
2023-07-19,53.1,54.7,52.9
2023-07-20,55.0,55.0,53.2
2023-07-21,53.7,54.5,53.6
2023-07-24,51.2,53.8,50.9
2023-07-25,52.0,52.2,51.0
2023-07-26,51.4,52.3,50.9
2023-07-27,52.4,52.4,51.5
2023-07-28,52.0,52.3,51.5
2023-07-31,52.4,53.2,51.8
