Date,Close,High,Low
2023-01-03,180.4,182.36,180.4
2023-01-04,180.4,180.4,179.42
2023-01-05,179.42,182.85,179.42
2023-01-06,180.4,180.89,177.95
2023-01-09,179.91,180.89,179.42
2023-01-10,181.87,181.87,179.91
2023-01-11,181.38,181.87,179.91
2023-01-12,181.87,182.85,180.89
2023-01-13,182.85,183.34,180.4
2023-01-16,181.87,182.85,180.89
2023-01-17,183.34,183.34,181.38
2023-01-30,185.79,186.77,184.32
2023-01-31,185.3,187.75,182.85
2023-02-01,192.16,194.12,186.28
2023-02-02,194.12,198.53,191.18
2023-02-03,198.04,198.53,194.12
2023-02-06,196.08,199.02,195.59
2023-02-07,194.61,198.04,194.61
2023-02-08,194.61,198.04,194.12
2023-02-09,195.1,196.08,193.63
2023-02-10,192.65,196.08,192.16
2023-02-13,191.18,192.65,190.2
2023-02-14,193.14,194.12,190.2
2023-02-15,192.65,193.14,191.18
2023-02-16,191.67,193.14,190.69
2023-02-17,194.12,194.61,190.69
2023-02-20,195.1,195.1,192.65
2023-02-21,199.51,201.97,195.1
2023-02-22,196.08,197.55,195.59
2023-02-23,200.5,200.5,195.1
2023-02-24,220.1,220.1,210.3
2023-03-01,213.24,218.63,211.77
2023-03-02,217.65,218.14,211.77
2023-03-03,219.12,221.57,214.22
2023-03-06,217.65,222.06,217.65
2023-03-07,219.61,223.54,213.73
2023-03-08,222.06,223.04,219.12
2023-03-09,236.28,243.14,222.06
2023-03-10,236.28,249.03,232.85
2023-03-13,230.89,241.67,224.52
2023-03-14,224.52,229.91,223.54
2023-03-15,231.87,238.24,228.44
2023-03-16,238.24,238.24,228.93
2023-03-17,250.5,257.85,234.32
2023-03-20,253.93,259.81,247.56
2023-03-21,260.79,272.56,256.87
2023-03-22,265.69,270.6,261.77
2023-03-23,269.12,274.52,267.16
2023-03-24,295.6,295.6,274.52
2023-03-27,280.4,304.91,280.4
2023-03-28,286.28,296.58,283.34
2023-03-29,288.24,294.13,282.85
2023-03-30,316.67,316.67,297.07
2023-03-31,307.85,326.48,307.36
2023-04-06,314.22,314.22,300.5
2023-04-07,301.97,313.24,301.97
2023-04-10,294.62,301.97,294.13
2023-04-11,309.81,314.71,300.01
2023-04-12,315.69,323.54,307.36
2023-04-13,312.75,318.64,306.87
2023-04-14,308.83,319.62,308.83
2023-04-17,303.44,313.24,300.5
2023-04-18,299.52,307.36,298.54
2023-04-19,300.01,306.87,299.03
2023-04-20,291.18,303.44,291.18
2023-04-21,280.4,294.13,277.46
2023-04-24,283.34,287.75,277.46
2023-04-25,275.01,288.24,273.05
2023-04-26,279.42,279.91,268.63
2023-04-27,287.26,293.14,276.48
2023-04-28,293.14,295.11,284.81
2023-05-02,290.2,296.09,287.26
2023-05-03,291.67,291.67,285.79
2023-05-04,287.75,293.14,286.28
