Date,Close,High,Low
2023-01-03,59.1,59.1,58.5
2023-01-04,59.0,59.1,58.6
2023-01-05,59.0,59.0,58.6
2023-01-06,59.4,59.5,58.5
2023-01-09,59.4,59.4,59.1
2023-01-10,59.4,59.5,59.2
2023-01-11,59.8,59.8,59.2
2023-01-12,59.8,59.9,59.5
2023-01-13,59.8,59.9,59.6
2023-01-16,60.0,60.0,59.7
2023-01-17,60.4,60.4,60.0
2023-01-30,61.1,61.7,60.4
2023-01-31,61.3,61.6,61.0
2023-02-01,62.1,62.2,61.6
2023-02-02,62.6,63.2,62.1
2023-02-03,63.0,63.2,62.4
2023-02-06,62.9,63.5,61.1
2023-02-07,62.9,63.3,62.8
2023-02-08,63.2,64.7,63.0
2023-02-09,62.8,63.3,62.7
2023-02-10,62.3,62.6,61.9
2023-02-13,61.6,62.2,60.0
2023-02-14,61.9,62.1,61.6
2023-02-15,61.6,62.9,61.2
2023-02-16,62.0,62.2,61.6
2023-02-17,62.8,62.8,62.0
2023-02-20,63.1,63.2,62.2
2023-02-21,63.0,63.1,62.6
2023-02-22,62.9,63.0,62.5
2023-02-23,63.0,64.0,62.7
2023-02-24,63.4,63.6,63.3
2023-03-01,64.0,64.6,63.5
2023-03-02,63.5,64.2,63.5
2023-03-03,63.7,63.7,63.4
2023-03-06,64.6,64.6,64.0
2023-03-07,65.8,65.8,64.6
2023-03-08,66.2,66.4,64.6
2023-03-09,66.5,67.3,66.1
2023-03-10,66.3,66.5,65.1
2023-03-13,65.0,66.3,63.5
2023-03-14,64.9,66.4,63.5
2023-03-15,64.7,64.7,64.0
2023-03-16,63.5,64.6,63.5
2023-03-17,63.7,64.1,63.5
2023-03-20,63.9,63.9,63.5
2023-03-21,63.5,63.9,63.5
2023-03-22,63.6,63.6,63.2
2023-03-23,64.2,64.7,63.6
2023-03-24,64.8,65.9,64.3
2023-03-27,64.9,65.0,64.3
2023-03-28,64.7,64.9,64.0
2023-03-29,64.9,65.4,64.6
2023-03-30,64.8,65.0,64.2
2023-03-31,65.4,66.2,65.0
2023-04-06,65.4,65.9,65.4
2023-04-07,65.3,65.3,64.8
2023-04-10,64.9,65.3,64.8
2023-04-11,64.5,64.5,64.3
2023-04-12,64.6,64.8,64.3
2023-04-13,64.0,64.5,63.9
2023-04-14,63.4,63.9,63.4
2023-04-17,63.6,63.6,63.1
2023-04-18,63.5,63.9,63.2
2023-04-19,63.3,63.8,63.3
2023-04-20,62.6,63.4,62.6
2023-04-21,62.3,62.6,61.3
2023-04-24,62.3,62.5,62.0
2023-04-25,61.9,62.5,61.1
2023-04-26,61.4,62.4,61.2
2023-04-27,61.8,61.8,61.4
2023-04-28,61.9,62.0,61.8
2023-05-02,63.0,63.4,61.9
2023-05-03,63.4,63.5,63.0
2023-05-04,63.0,63.1,62.5
