Date,Close,High,Low
2023-01-03,42.6,42.7,41.7
2023-01-04,42.3,42.75,42.15
2023-01-05,42.25,43.05,42.15
2023-01-06,42.0,42.45,41.95
2023-01-09,42.7,42.75,42.05
2023-01-10,43.0,43.4,42.7
2023-01-11,42.75,43.5,42.75
2023-01-12,42.5,43.15,42.5
2023-01-13,42.2,43.25,41.95
2023-01-16,42.8,42.9,42.2
2023-01-17,43.35,43.6,42.85
2023-01-30,43.95,44.25,43.8
2023-01-31,44.45,44.55,43.95
2023-02-01,45.0,45.15,44.5
2023-02-02,45.6,45.75,45.2
2023-02-03,44.65,45.9,44.5
2023-02-06,44.75,45.65,44.25
2023-02-07,47.15,47.3,44.6
2023-02-08,47.45,48.15,47.2
2023-02-09,46.4,46.8,46.1
2023-02-10,46.1,46.75,46.0
2023-02-13,45.9,46.4,45.7
2023-02-14,46.15,46.7,46.1
2023-02-15,46.95,47.25,45.8
2023-02-16,47.5,47.7,47.05
2023-02-17,47.3,47.8,47.1
2023-02-20,47.4,47.95,47.3
2023-02-21,47.1,47.8,47.1
2023-02-22,46.7,47.1,46.35
2023-02-23,47.5,47.8,46.9
2023-02-24,46.75,47.95,46.7
2023-03-01,46.1,46.7,46.0
2023-03-02,45.7,46.25,45.6
2023-03-03,45.95,46.2,45.7
2023-03-06,47.1,47.25,46.0
2023-03-07,47.25,47.45,46.85
2023-03-08,48.05,48.15,46.8
2023-03-09,46.7,48.8,46.5
2023-03-10,46.75,47.65,46.6
2023-03-13,46.05,46.6,45.05
2023-03-14,46.3,46.7,45.45
2023-03-15,45.55,46.65,45.55
2023-03-16,44.35,45.45,43.75
2023-03-17,44.7,45.05,44.45
2023-03-20,44.95,45.3,44.5
2023-03-21,45.5,45.95,45.3
2023-03-22,46.45,46.7,45.85
2023-03-23,46.6,46.75,46.15
2023-03-24,46.5,46.95,46.4
2023-03-27,46.0,46.55,46.0
2023-03-28,45.1,46.05,45.05
2023-03-29,44.75,45.55,44.55
2023-03-30,45.1,45.25,44.85
2023-03-31,45.25,45.3,45.0
2023-04-06,44.9,45.2,44.6
2023-04-07,44.75,45.05,44.7
2023-04-10,45.45,45.45,44.6
2023-04-11,47.0,47.1,45.0
2023-04-12,47.85,48.1,47.0
2023-04-13,47.3,47.85,47.05
2023-04-14,47.3,48.5,47.3
2023-04-17,47.7,48.1,47.5
2023-04-18,47.0,48.5,47.0
2023-04-19,46.6,47.5,46.55
2023-04-20,45.7,47.05,45.6
2023-04-21,44.9,45.9,44.8
2023-04-24,44.75,45.3,44.3
2023-04-25,43.5,45.1,43.05
2023-04-26,43.35,43.45,42.3
2023-04-27,43.0,43.5,42.7
2023-04-28,43.4,43.7,43.25
2023-05-02,43.9,43.9,43.15
2023-05-03,44.15,44.4,43.5
2023-05-04,43.95,44.35,43.7
2023-05-05,43.15,44.1,43.0
2023-05-08,43.15,43.5,42.9
2023-05-09,42.15,43.35,42.05
2023-05-10,42.15,42.2,41.8
2023-05-11,40.9,42.25,40.9
2023-05-12,41.3,41.5,40.4
2023-05-15,40.65,41.5,40.55
2023-05-16,41.25,41.4,40.6
2023-05-17,41.95,42.15,41.3
2023-05-18,41.95,42.55,41.95
2023-05-19,41.6,42.3,41.5
2023-05-22,42.7,42.75,41.35
2023-05-23,42.7,43.1,42.35
2023-05-24,42.65,43.25,42.3
2023-05-25,42.25,42.9,42.25
2023-05-26,45.4,46.45,43.5
2023-05-29,44.7,45.35,44.45
2023-05-30,44.3,44.7,44.0
2023-05-31,44.75,45.5,44.3
2023-06-01,44.75,44.8,44.35
2023-06-02,44.75,45.35,44.75
2023-06-05,45.15,45.7,44.95
2023-06-06,45.5,46.05,45.1
2023-06-07,45.7,46.35,45.45
2023-06-08,45.15,46.8,45.0
2023-06-09,45.1,45.55,45.0
2023-06-12,44.1,45.1,44.05
2023-06-13,45.8,46.7,44.2
2023-06-14,45.65,46.45,45.4
2023-06-15,45.3,46.0,45.25
2023-06-16,44.85,45.5,44.8
2023-06-19,46.6,46.65,44.45
2023-06-20,49.1,49.8,46.05
2023-06-21,50.0,50.0,48.0
2023-06-26,48.15,49.55,48.1
2023-06-27,46.1,48.45,45.8
2023-06-28,46.1,46.7,46.0
2023-06-29,47.05,48.1,46.9
2023-06-30,46.95,47.4,46.75
2023-07-03,48.25,49.2,47.65
2023-07-04,48.6,49.0,47.55
2023-07-05,49.5,51.3,49.1
2023-07-06,48.3,49.2,48.3
2023-07-07,48.1,48.4,47.0
2023-07-10,47.45,47.95,47.2
2023-07-11,47.85,48.3,47.7
2023-07-12,47.5,48.25,47.4
2023-07-13,48.15,49.8,47.7
2023-07-14,49.4,49.8,48.0
2023-07-17,48.85,49.7,48.7
2023-07-18,49.5,50.0,47.9
2023-07-19,49.1,49.95,48.5
2023-07-20,50.1,52.3,49.5
2023-07-21,50.7,51.5,49.0
2023-07-24,49.2,51.6,48.7
2023-07-25,49.6,50.8,48.95
2023-07-26,48.7,50.5,48.5
2023-07-27,49.0,49.2,48.55
2023-07-28,51.9,51.9,47.5
2023-07-31,49.0,51.7,49.0
2023-08-01,48.7,49.8,48.1
2023-08-02,47.55,49.1,47.5
2023-08-04,47.85,48.4,47.05
2023-08-07,48.9,49.6,47.3
2023-08-08,48.0,48.9,47.15
2023-08-09,47.65,47.9,47.35
2023-08-10,45.2,47.4,45.05
2023-08-11,45.3,46.15,45.0
2023-08-14,43.1,45.1,43.0
2023-08-15,43.1,43.7,43.05
2023-08-16,43.4,43.75,42.2
2023-08-17,44.1,44.2,42.6
2023-08-18,43.6,44.4,43.35
2023-08-21,43.05,43.7,43.0
2023-08-22,42.85,43.55,42.65
2023-08-23,43.15,43.25,42.35
2023-08-24,43.0,43.8,42.9
2023-08-25,42.95,43.4,42.2
2023-08-28,42.5,43.35,42.35
2023-08-29,42.8,42.95,42.55
2023-08-30,45.65,46.05,43.4
2023-08-31,46.35,46.7,45.7
2023-09-01,46.15,46.7,46.0
2023-09-04,45.95,46.5,45.4
2023-09-05,46.3,46.5,45.95
2023-09-06,46.1,46.5,46.1
2023-09-07,46.2,46.6,46.0
2023-09-08,46.0,46.65,46.0
