Date,Close,High,Low
2023-01-03,88.49,88.96,86.89
2023-01-04,85.94,89.91,85.94
2023-01-05,87.36,90.38,86.79
2023-01-06,83.58,88.49,83.11
2023-01-09,84.91,85.38,83.77
2023-01-10,85.28,86.13,84.62
2023-01-11,93.77,93.77,89.91
2023-01-12,96.23,98.11,94.34
2023-01-13,89.25,95.75,88.96
2023-01-16,89.62,90.94,85.85
2023-01-17,90.09,91.23,88.3
2023-01-30,88.68,91.98,88.02
2023-01-31,86.6,89.15,84.91
2023-02-01,87.74,88.3,86.7
2023-02-02,88.77,89.53,87.74
2023-02-03,95.28,97.17,88.11
2023-02-06,89.81,94.81,89.72
2023-02-07,93.87,94.81,89.06
2023-02-08,95.28,96.7,92.26
2023-02-09,99.06,102.83,94.06
2023-02-10,96.7,100.47,94.81
2023-02-13,100.0,102.83,96.23
2023-02-14,97.17,99.06,95.75
2023-02-15,98.58,99.06,96.23
2023-02-16,99.53,102.83,98.58
2023-02-17,108.02,109.43,98.58
2023-02-20,109.91,113.68,107.08
2023-02-21,109.91,116.04,108.49
2023-02-22,105.19,108.96,100.94
2023-02-23,108.02,108.02,105.19
2023-02-24,103.3,109.91,102.36
2023-03-01,106.6,108.02,102.36
2023-03-02,109.91,109.91,104.72
2023-03-03,116.04,118.4,108.96
2023-03-06,112.74,118.4,111.79
2023-03-07,114.15,115.09,111.32
2023-03-08,112.26,114.62,111.79
2023-03-09,113.21,116.04,112.26
2023-03-10,108.02,111.79,106.6
2023-03-13,102.36,105.19,97.64
2023-03-14,103.77,103.77,100.47
2023-03-15,105.19,107.55,104.25
2023-03-16,101.42,105.19,100.0
2023-03-17,105.19,106.6,103.3
2023-03-20,107.08,108.49,104.72
2023-03-21,105.19,108.96,105.19
2023-03-22,108.96,111.32,104.72
2023-03-23,119.81,119.81,108.02
2023-03-24,116.51,123.11,115.57
2023-03-27,114.62,117.92,113.68
2023-03-28,111.32,116.98,110.38
2023-03-29,112.26,113.68,110.85
2023-03-30,114.62,116.04,112.26
2023-03-31,114.62,116.98,114.62
2023-04-06,114.62,115.09,111.32
2023-04-07,115.09,116.98,114.15
2023-04-10,114.62,116.51,114.15
2023-04-11,103.3,110.38,103.3
2023-04-12,104.72,104.72,101.89
2023-04-13,103.3,104.72,102.36
2023-04-14,105.19,105.66,102.83
2023-04-17,103.77,106.13,103.77
2023-04-18,102.36,104.72,102.36
2023-04-19,101.89,104.72,101.42
2023-04-20,97.17,103.3,96.23
2023-04-21,94.81,98.11,94.25
2023-04-24,96.23,97.64,94.34
2023-04-25,92.74,97.17,92.26
2023-04-26,94.34,95.28,92.08
2023-04-27,94.81,95.28,92.08
2023-04-28,96.7,98.11,95.75
2023-05-02,99.53,100.47,97.64
2023-05-03,98.58,100.47,98.11
2023-05-04,100.94,101.89,99.53
2023-05-05,108.96,110.85,104.25
2023-05-08,110.38,113.21,108.49
2023-05-09,107.55,110.85,107.08
2023-05-10,109.43,113.21,108.02
2023-05-11,109.43,113.21,107.55
2023-05-12,113.68,113.68,108.02
2023-05-15,111.32,115.09,110.38
2023-05-16,112.74,115.09,112.26
2023-05-17,114.15,116.98,112.74
2023-05-18,116.98,118.4,114.62
2023-05-19,117.92,122.64,116.04
2023-05-22,121.23,123.58,118.4
2023-05-23,132.55,133.02,121.23
2023-05-24,127.36,132.55,126.42
2023-05-25,121.7,127.83,120.75
2023-05-26,120.75,125.0,119.81
2023-05-29,127.83,130.19,122.64
2023-05-30,128.3,130.19,125.94
2023-05-31,128.77,132.08,125.94
2023-06-01,126.89,129.25,126.42
2023-06-02,126.89,128.3,125.0
2023-06-05,127.83,128.3,125.94
2023-06-06,123.11,127.83,122.64
2023-06-07,123.58,125.94,123.11
2023-06-08,117.92,124.06,116.98
2023-06-09,120.28,121.23,117.92
2023-06-12,108.49,109.91,108.49
2023-06-13,107.08,111.32,104.72
2023-06-14,105.19,107.55,104.72
2023-06-15,106.6,108.96,101.89
2023-06-16,104.25,107.08,103.77
2023-06-19,105.66,106.6,102.83
2023-06-20,104.72,105.66,103.3
2023-06-21,104.72,107.08,103.77
2023-06-26,102.36,104.25,101.89
2023-06-27,100.94,103.77,100.94
2023-06-28,100.0,102.83,100.0
2023-06-29,102.83,102.83,100.0
2023-06-30,105.66,106.6,102.36
2023-07-03,104.72,106.6,104.25
2023-07-04,105.19,106.13,102.83
2023-07-05,105.66,108.02,104.72
2023-07-06,104.72,106.6,104.72
2023-07-07,102.83,105.19,101.89
2023-07-10,103.77,104.25,100.47
2023-07-11,104.72,105.66,103.3
2023-07-12,104.72,105.66,103.3
2023-07-13,110.85,114.15,105.66
2023-07-14,109.43,113.21,108.49
2023-07-17,108.96,112.26,108.49
2023-07-18,107.08,109.91,106.13
2023-07-19,107.08,110.38,107.08
2023-07-20,109.91,109.91,107.08
2023-07-21,108.02,108.49,106.6
2023-07-24,109.91,112.74,106.6
2023-07-25,110.38,111.79,108.96
2023-07-26,111.32,115.57,109.91
2023-07-27,111.32,113.68,110.85
2023-07-28,108.49,111.32,107.55
2023-07-31,109.43,111.79,108.49
2023-08-01,107.55,111.32,106.13
2023-08-02,103.77,108.02,103.3
2023-08-04,106.6,107.55,100.47
2023-08-07,106.13,108.02,103.77
2023-08-08,104.25,108.02,104.25
2023-08-09,103.3,106.13,103.3
2023-08-10,102.83,103.77,98.58
2023-08-11,99.53,102.36,98.58
2023-08-14,94.34,99.06,94.25
2023-08-15,99.06,99.06,96.23
2023-08-16,98.11,99.53,96.7
2023-08-17,100.94,101.42,97.17
2023-08-18,99.06,101.89,98.58
2023-08-21,100.0,100.94,99.06
2023-08-22,99.06,101.89,98.58
2023-08-23,99.53,100.47,99.06
2023-08-24,98.58,101.42,97.64
2023-08-25,98.58,99.53,97.17
2023-08-28,96.23,99.06,96.23
2023-08-29,97.64,98.11,94.81
2023-08-30,98.11,99.06,97.64
2023-08-31,100.0,100.0,97.17
2023-09-01,100.94,101.89,100.0
2023-09-04,101.42,101.89,100.47
2023-09-05,102.83,102.83,100.94
2023-09-06,103.3,104.25,102.83
2023-09-07,102.5,106.5,100.5
2023-09-08,102.0,103.0,101.5
2023-09-11,95.6,99.4,95.0
2023-09-12,92.9,96.7,92.2
2023-09-13,93.8,94.7,92.1
2023-09-14,100.0,101.0,93.8
2023-09-15,97.7,100.5,97.1
2023-09-18,97.5,98.7,96.1
2023-09-19,96.9,99.7,96.9
2023-09-20,94.6,97.4,94.4
2023-09-21,93.0,94.3,92.9
2023-09-22,93.3,93.4,91.4
2023-09-25,92.6,93.7,92.6
2023-09-26,90.8,92.6,90.8
2023-09-27,90.7,91.7,90.1
2023-09-28,91.6,92.5,90.9
2023-10-02,94.6,94.8,91.9
2023-10-03,92.3,94.6,92.3
2023-10-04,93.6,93.8,91.6
2023-10-05,96.4,97.3,93.6
2023-10-06,96.2,97.0,95.7
2023-10-11,94.5,97.5,94.2
2023-10-12,91.6,93.3,91.1
2023-10-13,92.0,94.2,91.2
2023-10-16,91.3,92.3,91.3
2023-10-17,90.4,92.3,90.4
2023-10-18,91.1,91.6,88.4
2023-10-19,91.5,92.2,90.0
2023-10-20,91.2,91.6,89.4
2023-10-23,90.0,91.8,89.9
2023-10-24,90.4,90.5,89.2
2023-10-25,90.5,91.8,90.5
2023-10-26,90.1,90.8,89.5
2023-10-27,91.3,91.3,89.6
2023-10-30,90.5,91.5,90.5
2023-10-31,89.0,91.9,89.0
2023-11-01,90.2,90.2,88.2
2023-11-02,90.5,92.0,90.5
2023-11-03,90.8,91.5,90.5
2023-11-06,94.2,94.7,90.8
2023-11-07,93.6,94.3,93.3
2023-11-08,94.4,94.9,93.7
2023-11-09,94.0,95.0,93.3
2023-11-10,94.8,95.3,93.7
2023-11-13,92.6,94.9,92.0
2023-11-14,91.8,93.3,90.8
2023-11-15,94.3,94.5,92.5
2023-11-16,97.9,99.0,94.3
2023-11-17,97.2,98.0,96.8
2023-11-20,98.0,98.8,96.6
2023-11-21,99.0,99.2,98.0
2023-11-22,108.5,108.5,99.9
2023-11-23,113.0,116.0,109.5
2023-11-24,115.5,118.5,113.5
2023-11-27,107.0,109.5,104.0
2023-11-28,115.5,117.0,108.0
2023-11-29,115.5,119.5,113.5
2023-11-30,115.0,118.0,115.0
2023-12-01,122.5,122.5,113.5
2023-12-04,117.0,124.0,116.0
2023-12-05,115.0,118.5,114.5
2023-12-06,116.0,119.0,116.0
2023-12-07,112.5,117.0,112.0
2023-12-08,117.0,117.5,113.5
2023-12-11,113.5,118.0,113.5
2023-12-12,113.5,117.5,113.5
2023-12-13,113.5,115.0,113.0
2023-12-14,113.5,115.5,113.5
2023-12-15,109.5,115.5,109.0
2023-12-18,109.5,111.5,109.0
2023-12-19,110.5,111.0,107.5
2023-12-20,115.5,116.0,110.0
2023-12-21,111.5,115.0,111.5
2023-12-22,113.0,114.0,110.5
2023-12-25,113.5,116.0,112.5
2023-12-26,114.0,116.0,113.5
2023-12-27,113.0,115.0,112.5
2023-12-28,112.0,114.0,112.0
2023-12-29,112.5,113.5,110.5
2024-01-02,110.5,112.5,109.0
2024-01-03,110.5,111.0,108.0
2024-01-04,109.0,111.0,108.5
2024-01-05,111.0,112.0,109.0
2024-01-08,109.5,113.0,109.5
2024-01-09,108.0,111.5,108.0
2024-01-10,108.5,110.5,107.5
2024-01-11,113.5,116.0,110.5
2024-01-12,112.5,115.0,112.0
