Date,Close,High,Low
2023-01-03,15.65,15.85,15.1
2023-01-04,15.95,16.15,15.55
2023-01-05,15.8,16.15,15.8
2023-01-06,16.4,17.0,15.8
2023-01-09,16.1,16.9,16.05
2023-01-10,15.3,16.3,15.2
2023-01-11,15.6,15.75,15.35
2023-01-12,15.55,15.8,15.5
2023-01-13,15.55,15.8,15.4
2023-01-16,15.85,16.1,15.4
2023-01-17,15.9,16.2,15.85
2023-01-30,16.3,16.4,15.95
2023-01-31,17.05,17.15,16.35
2023-02-01,17.3,17.3,16.7
2023-02-02,17.25,17.5,17.15
2023-02-03,17.1,17.65,17.05
2023-02-06,17.85,17.9,16.95
2023-02-07,17.65,18.1,17.55
2023-02-08,17.7,18.0,17.55
2023-02-09,17.8,18.35,17.65
2023-02-10,17.35,17.8,17.2
2023-02-13,17.8,18.15,17.2
2023-02-14,17.65,18.05,17.6
2023-02-15,17.55,17.95,17.4
2023-02-16,17.6,17.75,17.55
2023-02-17,18.05,18.1,17.6
2023-02-20,18.7,19.2,18.1
2023-02-21,19.05,19.05,18.5
2023-02-22,18.9,19.4,18.6
2023-02-23,18.7,19.45,18.7
2023-02-24,17.55,18.8,17.35
2023-03-01,18.25,18.35,17.5
2023-03-02,18.3,19.2,18.25
2023-03-03,18.95,19.1,18.4
2023-03-06,19.3,19.45,19.0
2023-03-07,19.0,19.8,18.9
2023-03-08,19.05,19.35,18.7
2023-03-09,18.4,19.2,18.0
2023-03-10,17.95,18.55,17.8
2023-03-13,17.55,18.3,16.85
2023-03-14,17.05,17.65,17.05
2023-03-15,16.6,17.35,16.55
2023-03-16,16.05,16.6,15.85
2023-03-17,16.05,16.55,16.05
2023-03-20,16.6,16.6,15.95
2023-03-21,18.25,18.25,18.2
2023-03-22,17.95,19.2,17.95
2023-03-23,19.7,19.7,17.7
2023-03-24,19.35,20.6,19.25
2023-03-27,19.15,19.7,19.0
2023-03-28,18.45,19.35,18.35
2023-03-29,18.7,18.95,18.45
2023-03-30,18.45,18.8,18.4
2023-03-31,18.7,18.85,18.4
2023-04-06,18.55,18.8,18.25
2023-04-07,18.3,18.65,18.3
2023-04-10,18.2,18.35,17.9
2023-04-11,18.2,18.35,18.1
2023-04-12,18.25,18.4,18.05
2023-04-13,18.7,18.85,18.2
2023-04-14,18.1,18.85,18.1
2023-04-17,18.2,18.35,18.0
2023-04-18,18.45,18.8,18.3
2023-04-19,18.65,19.05,18.55
2023-04-20,17.55,18.65,17.5
2023-04-21,16.7,17.8,16.7
2023-04-24,16.95,17.1,16.5
2023-04-25,16.25,17.0,16.0
2023-04-26,16.25,16.3,15.7
2023-04-27,16.45,16.5,16.05
2023-04-28,16.95,17.05,16.5
2023-05-02,16.9,17.2,16.45
2023-05-03,17.05,17.1,16.6
2023-05-04,17.25,17.4,16.75
2023-05-05,17.0,17.4,16.9
2023-05-08,17.05,17.25,17.0
2023-05-09,16.75,17.2,16.7
2023-05-10,16.5,16.7,16.5
2023-05-11,15.7,16.55,15.6
2023-05-12,16.4,16.5,15.7
2023-05-15,16.2,16.4,16.1
2023-05-16,16.25,16.45,16.2
2023-05-17,16.45,16.7,16.15
2023-05-18,16.3,16.75,16.25
2023-05-19,15.95,16.5,15.9
2023-05-22,16.35,16.4,15.95
2023-05-23,16.95,17.15,16.4
2023-05-24,16.95,17.05,16.55
2023-05-25,16.65,17.05,16.65
2023-05-26,16.5,17.0,16.4
2023-05-29,16.8,17.0,16.5
