Date,Close,High,Low
2023-01-03,8.11,8.17,8.07
2023-01-04,8.16,8.18,8.11
2023-01-05,8.18,8.22,8.15
2023-01-06,8.18,8.2,8.15
2023-01-09,8.2,8.23,8.18
2023-01-10,8.22,8.29,8.2
2023-01-11,8.26,8.28,8.2
2023-01-12,8.3,8.36,8.26
2023-01-13,8.27,8.34,8.27
2023-01-16,8.23,8.3,8.22
2023-01-17,8.23,8.25,8.2
2023-01-30,8.33,8.33,8.26
2023-01-31,8.38,8.39,8.34
2023-02-01,8.48,8.48,8.38
2023-02-02,8.51,8.52,8.46
2023-02-03,8.6,8.62,8.46
2023-02-06,8.61,8.66,8.52
2023-02-07,8.65,8.66,8.6
2023-02-08,8.73,8.76,8.62
2023-02-09,8.65,8.73,8.64
2023-02-10,8.57,8.62,8.52
2023-02-13,8.57,8.61,8.5
2023-02-14,8.57,8.63,8.56
2023-02-15,8.51,8.59,8.49
2023-02-16,8.56,8.57,8.51
2023-02-17,8.58,8.61,8.52
2023-02-20,8.71,8.72,8.59
2023-02-21,8.74,8.77,8.6
2023-02-22,8.71,8.72,8.65
2023-02-23,8.79,8.83,8.71
2023-02-24,8.81,8.81,8.68
2023-03-01,8.69,8.8,8.69
2023-03-02,8.74,8.74,8.69
2023-03-03,8.79,8.8,8.73
2023-03-06,8.84,8.85,8.81
2023-03-07,8.84,8.88,8.81
2023-03-08,8.83,8.86,8.81
2023-03-09,8.85,8.88,8.82
2023-03-10,8.78,8.88,8.75
2023-03-13,8.69,8.73,8.61
2023-03-14,8.94,9.24,8.82
2023-03-15,9.07,9.27,8.98
2023-03-16,9.01,9.17,9.0
2023-03-17,9.1,9.13,9.05
2023-03-20,9.18,9.19,9.12
2023-03-21,9.19,9.24,9.17
2023-03-22,9.24,9.29,9.2
2023-03-23,9.2,9.26,9.16
2023-03-24,9.14,9.21,9.11
2023-03-27,9.13,9.15,9.08
2023-03-28,9.1,9.13,9.08
2023-03-29,9.17,9.18,9.1
2023-03-30,9.22,9.23,9.16
2023-03-31,9.26,9.27,9.21
2023-04-06,9.26,9.28,9.22
2023-04-07,9.26,9.27,9.22
2023-04-10,9.26,9.28,9.22
2023-04-11,9.65,9.65,9.29
2023-04-12,10.6,10.6,9.65
2023-04-13,11.15,11.6,10.8
2023-04-14,10.8,11.2,10.65
2023-04-17,11.3,11.35,10.75
2023-04-18,10.85,11.25,10.7
2023-04-19,10.55,10.95,10.45
2023-04-20,10.4,10.75,10.4
2023-04-21,10.15,10.6,10.05
2023-04-24,10.35,10.45,10.25
2023-04-25,10.05,10.4,9.98
2023-04-26,10.3,10.35,10.05
2023-04-27,10.25,10.3,10.1
2023-04-28,10.45,10.55,10.3
2023-05-02,10.35,10.5,10.3
