Date,Close,High,Low
2023-01-03,9.61,9.78,9.39
2023-01-04,9.95,10.05,9.75
2023-01-05,9.93,10.05,9.93
2023-01-06,9.93,9.99,9.8
2023-01-09,9.95,10.05,9.93
2023-01-10,9.9,10.0,9.82
2023-01-11,9.81,9.91,9.8
2023-01-12,9.71,9.91,9.71
2023-01-13,10.0,9.8,9.64
2023-01-16,9.8,9.86,9.55
2023-01-17,10.05,10.2,9.8
2023-01-30,9.97,10.1,9.83
2023-01-31,10.0,10.1,9.9
2023-02-01,10.05,10.1,9.96
2023-02-02,10.15,10.15,10.05
2023-02-03,10.05,10.15,10.0
2023-02-06,9.97,10.1,9.94
2023-02-07,10.0,10.0,9.94
2023-02-08,9.99,10.0,9.95
2023-02-09,9.82,9.99,9.82
2023-02-10,9.61,9.82,9.61
2023-02-13,9.65,10.0,9.61
2023-02-14,9.9,9.9,9.66
2023-02-15,9.87,9.9,9.77
2023-02-16,9.8,9.89,9.72
2023-02-17,9.79,9.9,9.78
2023-02-20,9.77,9.82,9.76
2023-02-21,10.0,10.05,9.77
2023-02-22,9.97,10.0,9.9
2023-02-23,9.93,9.99,9.9
2023-02-24,9.98,10.05,9.94
2023-03-01,10.0,10.05,10.0
2023-03-02,10.05,10.2,10.05
2023-03-03,10.1,10.1,10.05
2023-03-06,10.0,10.15,10.0
2023-03-07,10.05,10.05,9.91
2023-03-08,10.05,10.2,9.96
2023-03-09,10.1,10.15,10.05
2023-03-10,9.97,10.1,9.96
2023-03-13,10.15,10.2,9.98
2023-03-14,10.15,10.15,10.05
2023-03-15,10.4,10.55,10.2
2023-03-16,10.15,10.5,10.1
2023-03-17,10.35,10.5,10.2
2023-03-20,10.8,10.85,10.35
2023-03-21,11.3,11.3,10.95
2023-03-22,11.0,11.2,11.0
2023-03-23,10.95,11.15,10.7
2023-03-24,10.85,11.3,10.85
2023-03-27,10.75,10.9,10.45
2023-03-28,10.6,10.7,10.5
2023-03-29,11.0,11.1,10.6
2023-03-30,10.8,11.0,10.75
2023-03-31,10.85,10.9,10.7
2023-04-06,11.0,11.0,10.9
2023-04-07,10.95,11.05,10.95
2023-04-10,11.0,11.1,10.95
2023-04-11,12.1,12.1,11.75
2023-04-12,12.5,13.25,12.1
2023-04-13,12.5,12.5,12.0
2023-04-14,12.8,13.1,12.35
2023-04-17,14.05,14.05,12.8
2023-04-18,13.8,14.45,13.45
2023-04-19,14.05,14.5,13.6
2023-04-20,13.8,14.35,13.6
2023-04-21,12.95,14.1,12.45
2023-04-24,12.95,13.2,12.5
2023-04-25,12.5,13.05,12.3
2023-04-26,12.9,12.95,12.35
2023-04-27,13.0,13.15,12.9
2023-04-28,13.1,13.35,12.7
2023-05-02,14.05,14.35,13.3
2023-05-03,14.1,14.2,13.7
2023-05-04,13.75,14.3,13.75
2023-05-05,13.3,13.9,13.15
2023-05-08,13.3,13.5,13.2
2023-05-09,12.85,13.6,12.75
2023-05-10,12.8,12.9,12.55
2023-05-11,12.0,12.6,12.0
2023-05-12,11.75,12.1,11.45
2023-05-15,11.85,12.0,11.8
2023-05-16,11.85,12.1,11.85
2023-05-17,11.85,11.95,11.65
2023-05-18,11.75,11.95,11.6
2023-05-19,11.55,11.95,11.5
2023-05-22,12.7,12.7,11.4
2023-05-23,12.25,12.7,12.2
2023-05-24,12.3,12.4,12.2
2023-05-25,12.3,12.45,12.2
2023-05-26,11.9,12.6,11.85
2023-05-29,12.1,12.15,11.8
2023-05-30,11.95,12.15,11.9
2023-05-31,12.0,12.15,11.95
2023-06-01,12.55,12.8,12.0
2023-06-02,12.65,13.1,12.55
2023-06-05,12.55,12.65,12.35
2023-06-06,12.4,13.0,12.25
2023-06-07,12.35,12.5,12.15
2023-06-08,12.2,12.4,12.1
2023-06-09,12.65,12.75,12.0
2023-06-12,11.85,12.15,11.45
2023-06-13,11.7,11.9,11.6
2023-06-14,11.4,11.9,11.35
2023-06-15,11.55,11.55,11.3
2023-06-16,11.35,11.6,11.25
2023-06-19,11.4,11.45,11.1
2023-06-20,11.75,11.95,11.4
2023-06-21,11.9,12.1,11.65
2023-06-26,11.8,12.1,11.8
2023-06-27,11.45,11.95,11.2
2023-06-28,11.4,11.65,11.4
2023-06-29,11.4,11.5,11.25
2023-06-30,11.25,11.45,11.25
2023-07-03,11.4,11.5,11.25
2023-07-04,11.3,11.45,11.2
2023-07-05,12.0,12.25,11.25
2023-07-06,11.9,12.1,11.7
2023-07-07,11.65,11.85,11.45
2023-07-10,11.45,11.65,11.45
2023-07-11,11.65,11.75,11.45
2023-07-12,11.6,11.8,11.45
2023-07-13,12.2,12.3,11.45
2023-07-14,12.4,12.45,11.9
2023-07-17,12.3,12.5,12.2
2023-07-18,12.05,12.4,12.0
2023-07-19,11.9,12.1,11.8
2023-07-20,11.95,12.0,11.7
2023-07-21,11.9,12.1,11.75
2023-07-24,11.85,12.15,11.75
2023-07-25,11.95,12.0,11.7
2023-07-26,12.2,12.55,12.0
2023-07-27,12.4,12.4,12.2
2023-07-28,12.45,12.65,12.3
2023-07-31,13.3,13.6,12.45
2023-08-01,13.2,13.8,13.1
2023-08-02,12.65,13.2,12.55
2023-08-04,12.85,13.0,12.5
2023-08-07,12.95,13.1,12.85
2023-08-08,12.8,13.0,12.6
2023-08-09,12.6,12.7,12.4
2023-08-10,11.75,12.4,11.5
2023-08-11,11.8,11.85,11.6
2023-08-14,11.6,11.75,11.35
2023-08-15,12.5,12.65,12.1
2023-08-16,12.5,12.6,12.05
2023-08-17,12.55,12.6,12.3
2023-08-18,12.5,12.7,12.45
2023-08-21,13.2,13.25,12.6
2023-08-22,12.5,13.25,12.4
2023-08-23,12.55,12.75,12.4
2023-08-24,12.35,12.7,12.35
2023-08-25,12.4,12.8,12.15
2023-08-28,12.25,12.75,12.2
2023-08-29,12.15,12.4,12.0
2023-08-30,12.3,12.45,12.05
2023-08-31,12.8,12.8,12.3
2023-09-01,13.25,14.0,12.85
2023-09-04,13.95,14.45,13.3
2023-09-05,14.5,14.95,13.7
2023-09-06,14.2,15.0,14.2
2023-09-07,14.0,14.7,13.85
2023-09-08,13.1,13.85,12.85
2023-09-11,12.6,13.0,12.5
2023-09-12,12.6,12.9,12.6
2023-09-13,13.45,13.7,12.75
2023-09-14,13.5,13.6,13.25
2023-09-15,13.1,13.7,13.05
2023-09-18,12.95,13.25,12.85
2023-09-19,13.0,13.2,12.95
2023-09-20,12.7,13.15,12.6
2023-09-21,12.5,12.8,12.4
2023-09-22,12.75,12.9,12.5
2023-09-25,12.8,12.9,12.75
2023-09-26,12.5,12.9,12.5
2023-09-27,12.3,12.6,12.2
2023-09-28,12.6,12.95,12.4
2023-10-02,12.5,12.8,12.45
2023-10-03,12.4,12.65,12.35
