Date,Close,High,Low
2023-01-03,40.29,40.39,39.0
2023-01-04,41.37,41.82,40.14
2023-01-05,42.21,42.7,41.27
2023-01-06,42.16,42.6,41.72
2023-01-09,42.51,43.84,42.51
2023-01-10,42.6,44.03,42.41
2023-01-11,42.8,43.34,42.31
2023-01-12,42.06,43.25,41.96
2023-01-13,41.57,43.3,41.57
2023-01-16,41.03,42.06,40.98
2023-01-17,40.98,41.17,40.83
2023-01-30,42.95,43.34,41.82
2023-01-31,44.48,44.48,42.7
2023-02-01,44.23,45.51,43.39
2023-02-02,46.3,46.8,44.48
2023-02-03,47.34,49.8,45.86
2023-02-06,47.34,47.59,46.4
2023-02-07,47.39,47.78,46.85
2023-02-08,47.59,48.92,47.54
2023-02-09,46.75,47.88,46.55
2023-02-10,45.61,47.14,45.46
2023-02-13,45.02,45.76,44.87
2023-02-14,45.76,46.85,45.56
2023-02-15,45.22,46.01,45.07
2023-02-16,47.04,47.04,45.37
2023-02-17,47.09,47.29,46.2
2023-02-20,47.14,48.13,47.04
2023-02-21,47.09,47.63,46.99
2023-02-22,46.35,46.8,45.91
2023-02-23,47.34,47.78,46.65
2023-02-24,46.55,48.13,45.96
2023-03-01,46.3,46.5,45.86
2023-03-02,46.5,47.14,46.4
2023-03-03,47.39,47.73,46.85
2023-03-06,47.44,47.93,47.39
2023-03-07,47.68,48.08,47.44
2023-03-08,47.68,48.62,47.34
2023-03-09,46.85,48.82,46.85
2023-03-10,44.87,46.45,44.82
2023-03-13,44.18,44.48,42.9
2023-03-14,43.15,43.74,43.05
2023-03-15,42.95,44.08,42.95
2023-03-16,41.62,42.95,41.22
2023-03-17,41.82,42.51,41.47
2023-03-20,43.15,43.15,41.67
2023-03-21,43.89,44.13,43.15
2023-03-22,43.99,44.77,43.99
2023-03-23,46.6,46.75,43.59
2023-03-24,46.89,47.54,46.45
2023-03-27,45.76,47.54,45.76
2023-03-28,44.38,46.5,44.23
2023-03-29,44.68,45.07,44.08
2023-03-30,45.96,46.8,45.17
2023-03-31,46.75,48.03,46.11
2023-04-06,46.4,46.94,45.96
2023-04-07,46.6,47.63,46.45
2023-04-10,45.81,47.09,45.66
2023-04-11,47.73,48.28,45.96
2023-04-12,48.77,48.77,47.44
2023-04-13,46.5,48.92,46.5
2023-04-14,46.11,47.29,46.06
2023-04-17,45.91,46.3,45.86
2023-04-18,45.61,46.55,45.61
2023-04-19,45.61,46.11,45.56
2023-04-20,44.92,45.81,44.87
2023-04-21,43.64,45.61,43.49
2023-04-24,42.95,43.94,42.9
2023-04-25,40.98,43.34,40.93
2023-04-26,40.83,41.13,39.7
2023-04-27,41.27,41.77,40.93
2023-04-28,42.46,42.9,41.77
2023-05-02,42.65,43.0,42.21
2023-05-03,41.47,42.46,41.47
2023-05-04,40.44,41.47,40.44
2023-05-05,39.99,40.83,39.89
2023-05-08,40.19,41.03,40.19
