Date,Close,High,Low
2023-01-03,30.35,30.45,30.35
2023-01-04,30.35,30.35,30.35
2023-01-05,30.05,30.05,30.0
2023-01-06,30.05,30.05,30.05
2023-01-09,30.0,30.3,30.0
2023-01-10,30.1,30.1,30.0
2023-01-11,30.1,30.1,30.1
2023-01-12,30.1,30.1,30.1
2023-01-13,30.1,30.1,30.1
2023-01-16,31.0,31.0,30.2
2023-01-17,30.3,30.9,30.15
2023-01-30,30.95,30.95,30.05
2023-01-31,30.85,30.85,30.85
2023-02-01,30.85,30.85,30.85
2023-02-02,30.6,30.7,30.6
2023-02-03,30.6,30.6,30.6
2023-02-06,30.6,30.6,30.25
2023-02-07,30.6,30.6,30.6
2023-02-08,30.6,30.6,30.6
2023-02-09,30.25,30.25,30.25
2023-02-10,30.1,30.1,30.1
2023-02-13,30.25,30.4,30.25
2023-02-14,30.4,30.4,30.35
2023-02-15,30.3,30.3,30.3
2023-02-16,30.4,30.4,30.35
2023-02-17,30.85,30.85,30.3
2023-02-20,30.65,30.75,30.5
2023-02-21,30.4,30.65,30.4
2023-02-22,30.45,30.45,30.45
2023-02-23,30.4,30.5,30.4
2023-02-24,30.2,30.45,30.2
2023-03-01,30.55,30.7,30.3
2023-03-02,30.65,30.65,30.55
2023-03-03,30.75,30.75,30.65
2023-03-06,30.75,30.9,30.4
2023-03-07,30.75,31.0,30.75
2023-03-08,30.9,31.0,30.9
2023-03-09,31.0,31.1,30.9
2023-03-10,31.3,31.95,31.0
2023-03-13,31.45,31.9,30.65
2023-03-14,31.55,32.0,31.5
2023-03-15,31.85,32.05,31.8
2023-03-16,31.4,32.0,31.4
2023-03-17,31.85,31.85,31.5
2023-03-20,31.9,31.9,31.5
2023-03-21,31.85,31.9,31.8
2023-03-22,31.8,31.9,31.8
2023-03-23,31.8,31.8,31.8
2023-03-24,31.7,32.0,31.7
2023-03-27,31.65,31.7,31.65
2023-03-28,31.65,31.65,31.65
2023-03-29,31.7,31.7,31.7
2023-03-30,31.6,31.6,31.6
2023-03-31,31.5,31.7,31.5
2023-04-06,31.65,31.8,31.65
2023-04-07,31.75,32.15,31.75
2023-04-10,32.3,32.3,31.8
2023-04-11,31.85,32.2,31.85
2023-04-12,31.9,32.2,31.85
2023-04-13,32.1,32.15,32.0
2023-04-14,31.9,32.1,31.9
2023-04-17,32.15,32.15,32.0
2023-04-18,32.1,32.1,31.85
2023-04-19,32.05,32.1,32.05
2023-04-20,31.55,32.1,31.35
2023-04-21,31.4,31.8,31.4
2023-04-24,31.4,31.4,31.4
2023-04-25,31.3,31.9,31.3
2023-04-26,31.3,31.3,31.1
2023-04-27,31.35,32.0,31.35
2023-04-28,31.95,31.95,31.15
2023-05-02,32.0,32.1,31.5
2023-05-03,31.55,32.2,31.35
2023-05-04,31.6,31.85,31.6
2023-05-05,31.5,32.0,31.5
2023-05-08,31.5,31.5,31.1
2023-05-09,31.5,31.65,31.55
2023-05-10,31.65,31.65,31.65
2023-05-11,31.25,31.65,31.25
2023-05-12,31.25,31.3,31.25
2023-05-15,31.7,31.7,31.6
2023-05-16,31.8,31.8,31.7
2023-05-17,31.8,31.85,31.8
2023-05-18,32.05,32.05,31.85
2023-05-19,32.25,32.25,32.0
2023-05-22,32.25,32.25,32.25
2023-05-23,32.35,32.35,32.3
2023-05-24,32.35,32.35,32.35
2023-05-25,32.25,32.35,32.25
2023-05-26,32.05,32.05,32.0
2023-05-29,32.3,32.3,32.05
2023-05-30,32.55,32.55,32.5
2023-05-31,32.55,32.55,32.55
2023-06-01,32.3,32.35,32.3
2023-06-02,32.2,32.25,32.2
2023-06-05,32.5,32.5,31.8
2023-06-06,32.5,32.5,32.5
2023-06-07,32.5,32.5,32.5
2023-06-08,32.5,32.5,32.5
2023-06-09,32.5,32.5,32.5
2023-06-12,32.5,32.5,32.4
2023-06-13,32.6,32.6,32.6
2023-06-14,32.65,32.65,32.5
2023-06-15,32.65,32.65,32.6
2023-06-16,32.7,32.75,32.7
2023-06-19,33.55,33.7,33.0
2023-06-20,33.6,33.95,33.2
2023-06-21,33.25,33.6,33.25
2023-06-26,33.75,33.8,33.6
2023-06-27,33.7,33.7,33.1
2023-06-28,33.8,33.8,33.7
2023-06-29,33.85,33.95,33.8
2023-06-30,33.8,33.85,33.8
2023-07-03,33.85,33.9,33.85
2023-07-04,34.0,34.0,33.85
2023-07-05,34.1,34.1,33.85
2023-07-06,32.45,32.45,32.4
2023-07-07,32.25,32.35,32.25
2023-07-10,32.2,32.2,32.2
2023-07-11,32.2,32.2,32.2
2023-07-12,32.25,32.25,32.2
2023-07-13,32.0,32.0,32.0
2023-07-14,32.05,32.05,32.0
2023-07-17,31.8,32.3,31.8
2023-07-18,31.6,31.8,31.6
2023-07-19,31.6,31.6,31.55
2023-07-20,31.5,31.5,31.5
2023-07-21,31.5,31.5,31.5
2023-07-24,31.55,31.95,31.5
2023-07-25,31.55,31.6,31.55
2023-07-26,31.55,31.55,31.55
2023-07-27,31.6,31.65,31.55
2023-07-28,31.65,31.75,31.65
2023-07-31,31.85,31.85,31.85
2023-08-01,31.85,31.85,31.85
2023-08-02,31.85,31.9,31.85
2023-08-04,31.95,31.95,31.85
2023-08-07,31.5,32.2,31.5
2023-08-08,32.1,32.1,32.1
2023-08-09,31.9,31.9,31.8
2023-08-10,31.9,31.9,31.9
