Date,Close,High,Low
2023-01-03,14.25,14.6,14.1
2023-01-04,14.3,14.45,14.2
2023-01-05,14.8,14.9,14.4
2023-01-06,15.7,16.25,14.95
2023-01-09,15.3,15.9,15.1
2023-01-10,14.95,15.3,14.9
2023-01-11,14.15,14.8,13.65
2023-01-12,13.5,14.2,13.5
2023-01-13,13.75,13.9,13.65
2023-01-16,13.65,13.75,13.65
2023-01-17,13.7,13.9,13.4
2023-01-30,13.65,14.0,13.6
2023-01-31,13.65,13.65,13.5
2023-02-01,13.85,13.9,13.65
2023-02-02,13.85,14.0,13.8
2023-02-03,13.85,14.1,13.8
2023-02-06,13.8,13.95,13.55
2023-02-07,14.0,14.5,13.9
2023-02-08,13.85,14.05,13.75
2023-02-09,13.85,13.95,13.75
2023-02-10,13.7,13.85,13.5
2023-02-13,13.55,13.6,13.4
2023-02-14,13.55,13.6,13.4
2023-02-15,13.55,13.6,13.45
2023-02-16,13.6,13.6,13.45
2023-02-17,13.6,13.6,13.45
2023-02-20,13.6,13.6,13.45
2023-02-21,13.75,13.75,13.55
2023-02-22,14.15,14.4,13.65
2023-02-23,14.0,14.4,13.95
2023-02-24,13.85,14.05,13.75
2023-03-01,13.85,13.85,13.65
2023-03-02,13.8,13.9,13.8
2023-03-03,13.75,13.8,13.7
2023-03-06,14.0,14.05,13.85
2023-03-07,14.45,15.15,14.1
2023-03-08,14.35,14.45,14.2
2023-03-09,14.35,14.5,14.35
2023-03-10,14.5,14.5,14.15
2023-03-13,14.1,14.6,14.1
2023-03-14,13.85,14.15,13.85
2023-03-15,13.7,14.0,13.7
2023-03-16,13.1,13.75,13.05
2023-03-17,13.35,13.6,13.1
2023-03-20,13.35,13.55,13.35
2023-03-21,13.35,13.4,13.3
2023-03-22,13.35,13.45,13.25
2023-03-23,14.1,13.65,13.3
2023-03-24,13.55,13.9,13.45
2023-03-27,13.65,13.85,13.65
2023-03-28,13.55,13.7,13.5
2023-03-29,13.3,13.5,13.25
2023-03-30,13.15,13.4,13.0
2023-03-31,13.2,13.35,13.2
2023-04-06,13.0,13.3,13.0
2023-04-07,13.0,13.1,13.0
2023-04-10,13.2,13.25,13.0
2023-04-11,13.2,13.3,13.2
2023-04-12,13.05,13.2,13.05
2023-04-13,13.1,13.15,13.05
2023-04-14,13.2,13.3,13.05
2023-04-17,13.2,13.35,13.15
2023-04-18,13.2,13.2,13.1
2023-04-19,13.3,13.35,13.1
2023-04-20,13.85,14.45,13.4
2023-04-21,13.3,13.75,13.15
2023-04-24,13.2,13.5,13.2
2023-04-25,13.0,13.35,12.95
2023-04-26,13.15,13.3,13.0
2023-04-27,13.15,13.3,13.05
2023-04-28,13.1,13.2,13.05
2023-05-02,13.1,13.1,13.05
2023-05-03,13.15,13.15,13.0
2023-05-04,13.15,13.2,13.1
2023-05-05,13.05,13.2,13.0
2023-05-08,12.95,13.05,12.85
2023-05-09,12.9,12.95,12.75
2023-05-10,12.85,12.9,12.75
2023-05-11,12.9,12.95,12.65
2023-05-12,12.95,12.95,12.4
2023-05-15,12.65,12.75,12.65
2023-05-16,12.7,12.7,12.65
2023-05-17,12.7,12.75,12.6
2023-05-18,12.7,12.7,12.55
2023-05-19,12.75,12.75,12.65
2023-05-22,12.75,12.85,12.65
2023-05-23,12.85,12.85,12.7
2023-05-24,12.8,12.85,12.7
2023-05-25,13.05,13.25,12.75
2023-05-26,13.1,13.15,12.9
2023-05-29,13.15,13.25,13.1
2023-05-30,13.45,13.45,13.1
2023-05-31,13.45,13.5,13.1
2023-06-01,13.25,13.45,13.2
2023-06-02,13.6,14.3,13.5
2023-06-05,13.85,14.05,13.6
2023-06-06,13.6,13.8,13.5
2023-06-07,13.65,13.8,13.45
2023-06-08,13.6,13.8,13.4
2023-06-09,13.45,13.7,13.2
2023-06-12,13.15,13.4,13.15
2023-06-13,13.25,13.4,12.95
2023-06-14,13.1,13.2,12.95
2023-06-15,13.0,13.25,12.95
2023-06-16,13.1,13.15,13.05
2023-06-19,13.0,13.0,12.9
2023-06-20,13.0,13.0,13.0
2023-06-21,13.1,13.2,12.95
2023-06-26,13.3,13.35,13.05
2023-06-27,13.3,13.75,13.2
2023-06-28,13.3,13.5,13.25
2023-06-29,13.35,13.45,13.3
2023-06-30,13.3,13.3,13.15
2023-07-03,13.1,13.2,13.1
2023-07-04,13.1,13.15,13.05
2023-07-05,13.2,13.4,13.1
2023-07-06,13.2,13.3,13.15
2023-07-07,13.2,13.2,12.95
2023-07-10,13.1,13.2,13.1
2023-07-11,13.05,13.25,13.0
2023-07-12,13.0,13.15,12.95
2023-07-13,12.95,13.1,12.85
2023-07-14,12.95,13.0,12.7
2023-07-17,12.95,13.0,12.75
2023-07-18,12.8,13.1,12.75
2023-07-19,12.65,12.8,12.6
2023-07-20,12.7,12.75,12.5
2023-07-21,12.6,12.8,12.55
2023-07-24,12.65,12.75,12.55
2023-07-25,12.8,12.9,12.7
2023-07-26,12.8,12.7,12.7
2023-07-27,12.75,12.8,12.65
2023-07-28,12.75,12.75,12.6
2023-07-31,12.75,12.75,12.65
2023-08-01,12.75,12.8,12.75
2023-08-02,12.8,12.8,12.55
2023-08-04,12.65,12.7,12.55
2023-08-07,12.8,12.8,12.65
2023-08-08,12.65,12.65,12.6
2023-08-09,13.0,13.0,12.6
2023-08-10,13.1,13.35,12.6
2023-08-11,12.4,12.85,12.35
2023-08-14,11.95,12.35,11.9
2023-08-15,12.25,12.3,12.1
2023-08-16,12.35,12.45,12.2
2023-08-17,12.45,12.45,12.35
2023-08-18,12.4,12.4,12.4
2023-08-21,12.5,12.5,12.25
2023-08-22,12.25,12.45,12.25
2023-08-23,12.4,12.65,12.35
2023-08-24,12.15,12.4,12.15
2023-08-25,12.35,12.35,12.05
2023-08-28,12.5,12.4,12.2
2023-08-29,12.3,12.3,12.3
2023-08-30,12.05,12.3,12.0
2023-08-31,12.15,12.2,12.1
2023-09-01,12.15,12.3,12.1
2023-09-04,12.0,12.15,12.0
2023-09-05,12.15,12.2,12.0
2023-09-06,12.2,12.25,12.2
2023-09-07,12.25,12.4,12.2
2023-09-08,12.3,12.45,12.15
2023-09-11,12.2,12.25,12.1
2023-09-12,12.1,12.1,11.9
2023-09-13,11.9,11.95,11.9
2023-09-14,11.85,12.0,11.85
2023-09-15,11.85,12.0,11.85
2023-09-18,11.9,11.9,11.5
2023-09-19,11.75,11.6,11.4
2023-09-20,11.65,11.65,11.4
