Date,Close,High,Low
2023-01-03,22.15,22.25,21.8
2023-01-04,22.35,22.35,22.0
2023-01-05,22.6,22.6,22.3
2023-01-06,22.6,22.7,22.45
2023-01-09,23.15,23.15,22.7
2023-01-10,23.15,23.15,22.85
2023-01-11,23.1,23.25,22.95
2023-01-12,22.9,23.15,22.8
2023-01-13,22.8,23.15,22.8
2023-01-16,23.05,23.25,22.9
2023-01-17,23.2,23.25,22.95
2023-01-30,23.2,23.4,22.9
2023-01-31,22.85,23.3,22.85
2023-02-01,22.75,23.05,22.6
2023-02-02,22.5,22.7,22.4
2023-02-03,22.4,22.5,22.35
2023-02-06,22.35,22.55,22.25
2023-02-07,22.3,22.6,22.3
2023-02-08,22.4,22.45,22.3
2023-02-09,22.3,22.45,22.3
2023-02-10,22.45,22.5,22.25
2023-02-13,22.75,22.75,22.3
2023-02-14,22.9,23.05,22.65
2023-02-15,22.55,22.9,22.5
2023-02-16,22.7,22.8,22.55
2023-02-17,22.75,22.85,22.6
2023-02-20,22.95,23.0,22.7
2023-02-21,22.8,22.9,22.7
2023-02-22,22.8,22.9,22.5
2023-02-23,22.85,23.0,22.75
2023-02-24,22.75,22.95,22.75
2023-03-01,22.7,22.8,22.6
2023-03-02,22.55,22.8,22.4
2023-03-03,22.4,22.6,22.4
2023-03-06,22.55,22.6,22.45
2023-03-07,22.65,22.75,22.55
2023-03-08,22.75,22.75,22.45
2023-03-09,22.5,22.8,22.5
2023-03-10,22.25,22.4,22.2
2023-03-13,22.2,22.3,22.05
2023-03-14,21.7,22.0,21.7
2023-03-15,21.55,21.85,21.55
2023-03-16,20.9,21.35,20.85
2023-03-17,20.85,21.15,20.85
2023-03-20,21.0,21.0,20.7
2023-03-21,21.05,21.25,20.85
2023-03-22,21.35,21.4,21.15
2023-03-23,21.55,21.55,21.15
2023-03-24,21.4,21.6,21.3
2023-03-27,21.45,21.55,21.4
2023-03-28,21.5,21.7,21.45
2023-03-29,21.7,21.75,21.5
2023-03-30,21.65,21.8,21.55
2023-03-31,21.85,21.9,21.7
2023-04-06,21.7,21.85,21.65
2023-04-07,21.7,21.8,21.65
2023-04-10,21.8,21.85,21.65
2023-04-11,21.85,21.85,21.65
2023-04-12,22.0,22.0,21.8
2023-04-13,22.3,22.35,22.05
2023-04-14,22.5,22.5,22.2
2023-04-17,22.5,22.55,22.4
2023-04-18,22.4,22.5,22.35
2023-04-19,22.45,22.5,22.4
2023-04-20,22.35,22.4,22.25
2023-04-21,22.3,22.4,22.2
2023-04-24,22.45,22.5,22.2
2023-04-25,22.35,22.55,22.3
2023-04-26,22.45,22.45,22.3
2023-04-27,22.4,22.5,22.3
2023-04-28,22.6,22.6,22.3
2023-05-02,22.9,22.9,22.7
2023-05-03,22.95,23.0,22.75
2023-05-04,23.1,23.15,22.85
2023-05-05,23.05,23.15,23.0
2023-05-08,23.35,23.35,23.1
2023-05-09,23.3,23.4,23.2
2023-05-10,23.3,23.35,23.15
2023-05-11,23.3,23.35,23.2
2023-05-12,23.1,23.35,23.1
2023-05-15,23.35,23.4,23.0
2023-05-16,23.55,23.55,23.4
2023-05-17,23.8,24.0,23.5
2023-05-18,24.1,24.15,23.85
2023-05-19,24.4,24.4,24.15
2023-05-22,24.55,24.7,24.35
2023-05-23,24.6,24.7,24.35
2023-05-24,24.5,24.55,24.25
2023-05-25,24.1,24.35,24.05
2023-05-26,24.1,24.25,23.85
2023-05-29,24.4,24.45,24.15
2023-05-30,24.5,24.6,24.4
2023-05-31,24.3,24.55,24.25
2023-06-01,24.3,24.5,24.25
2023-06-02,24.3,24.5,24.25
2023-06-05,24.45,24.65,24.4
2023-06-06,24.45,24.55,24.35
2023-06-07,24.6,24.6,24.45
2023-06-08,24.65,24.65,24.5
2023-06-09,25.2,25.25,24.75
2023-06-12,24.8,25.3,24.7
2023-06-13,24.8,25.0,24.7
2023-06-14,24.75,24.95,24.7
2023-06-15,24.7,24.8,24.6
2023-06-16,24.55,24.8,24.55
2023-06-19,25.05,25.05,24.5
2023-06-20,25.05,25.05,24.8
2023-06-21,25.1,25.15,24.85
2023-06-26,24.95,25.2,24.9
2023-06-27,24.75,25.0,24.6
2023-06-28,25.0,25.0,24.7
2023-06-29,24.9,25.15,24.8
2023-06-30,24.85,25.15,24.7
2023-07-03,25.1,25.1,24.85
2023-07-04,24.85,25.1,24.8
2023-07-05,24.95,25.1,24.9
2023-07-06,24.5,24.85,24.25
2023-07-07,24.6,24.65,24.15
2023-07-10,24.5,24.75,24.35
2023-07-11,24.95,25.0,24.75
2023-07-12,25.15,25.15,24.85
2023-07-13,24.9,25.25,24.9
2023-07-14,25.4,25.4,25.0
2023-07-17,26.15,26.15,25.35
2023-07-18,26.25,26.3,25.9
2023-07-19,26.05,26.3,25.9
2023-07-20,26.2,26.25,25.8
2023-07-21,26.45,26.6,26.0
2023-07-24,26.1,26.4,26.0
2023-07-25,26.35,26.45,26.0
2023-07-26,26.5,26.6,26.25
2023-07-27,26.6,26.7,26.45
2023-07-28,26.35,26.6,26.15
2023-07-31,26.25,26.6,26.25
2023-08-01,26.25,26.45,26.05
2023-08-02,26.15,26.25,25.95
2023-08-04,24.6,25.3,24.55
2023-08-07,24.6,24.9,24.55
2023-08-08,24.6,24.75,24.5
2023-08-09,24.8,24.95,24.6
2023-08-10,24.9,24.9,24.65
2023-08-11,24.9,25.2,24.8
2023-08-14,24.3,24.7,24.05
2023-08-15,23.9,24.3,23.8
2023-08-16,23.4,23.55,23.15
2023-08-17,23.25,23.25,22.8
2023-08-18,23.35,23.8,23.1
2023-08-21,23.85,23.95,23.55
2023-08-22,23.55,23.95,23.35
2023-08-23,23.7,23.85,23.5
2023-08-24,23.85,24.0,23.7
2023-08-25,23.5,23.85,23.5
2023-08-28,23.8,23.85,23.5
2023-08-29,24.0,24.0,23.75
2023-08-30,23.9,24.1,23.8
2023-08-31,23.85,24.05,23.7
2023-09-01,23.8,24.0,23.75
2023-09-04,23.95,23.95,23.75
2023-09-05,24.0,24.05,23.9
2023-09-06,23.65,24.05,23.65
2023-09-07,23.6,23.7,23.55
2023-09-08,24.05,24.1,23.8
2023-09-11,24.25,24.35,24.05
2023-09-12,24.35,24.35,24.1
2023-09-13,24.7,24.7,24.3
2023-09-14,25.0,25.0,24.65
2023-09-15,24.85,25.1,24.6
2023-09-18,24.95,24.95,24.6
2023-09-19,24.95,25.1,24.8
2023-09-20,24.85,25.1,24.8
2023-09-21,24.35,24.75,24.2
2023-09-22,24.25,24.45,24.1
2023-09-25,24.6,24.7,24.35
2023-09-26,24.55,24.6,24.35
2023-09-27,24.4,24.55,24.3
2023-09-28,24.5,24.6,24.4
2023-10-02,24.5,24.6,24.5
2023-10-03,24.2,24.45,24.15
2023-10-04,23.7,24.1,23.7
2023-10-05,24.1,24.15,23.7
2023-10-06,24.25,24.3,24.0
2023-10-11,24.9,24.9,24.5
2023-10-12,25.2,25.25,24.75
2023-10-13,25.15,25.15,24.95
2023-10-16,25.35,25.35,25.05
2023-10-17,25.15,25.4,25.0
2023-10-18,25.15,25.3,24.9
2023-10-19,24.85,25.15,24.8
2023-10-20,24.65,24.8,24.2
2023-10-23,24.35,24.7,24.3
2023-10-24,24.45,24.5,24.2
2023-10-25,24.65,24.7,24.45
2023-10-26,24.35,24.7,24.3
2023-10-27,24.6,24.7,24.4
2023-10-30,24.35,24.7,24.25
2023-10-31,24.35,24.45,24.25
2023-11-01,24.35,24.6,24.35
2023-11-02,24.7,24.7,24.5
2023-11-03,25.35,25.35,24.8
2023-11-06,25.3,25.5,25.2
2023-11-07,25.15,25.3,25.0
2023-11-08,25.1,25.25,25.1
2023-11-09,25.35,25.4,25.2
2023-11-10,25.5,25.5,25.25
2023-11-13,25.6,25.7,25.5
2023-11-14,26.15,26.2,25.75
2023-11-15,26.8,26.85,26.25
2023-11-16,26.85,26.85,26.5
2023-11-17,26.85,27.0,26.7
2023-11-20,26.85,26.85,26.55
2023-11-21,27.05,27.15,26.85
