Date,Close,High,Low
2023-01-03,14.95,15.0,14.9
2023-01-04,14.9,14.9,14.8
2023-01-05,14.8,14.8,14.75
2023-01-06,14.8,14.8,14.75
2023-01-09,14.7,15.0,14.65
2023-01-10,14.75,14.8,14.7
2023-01-11,15.0,15.0,14.75
2023-01-12,14.9,14.95,14.75
2023-01-13,14.9,15.4,14.75
2023-01-16,14.9,15.3,14.75
2023-01-17,14.9,15.0,14.9
2023-01-30,15.15,15.15,15.05
2023-01-31,15.15,15.35,14.9
2023-02-01,15.05,15.35,14.95
2023-02-02,15.05,15.15,15.05
2023-02-03,15.0,15.15,15.0
2023-02-06,15.0,15.3,14.8
2023-02-07,14.95,15.25,14.8
2023-02-08,14.9,15.0,14.9
2023-02-09,15.0,15.0,14.9
2023-02-10,14.85,15.0,14.85
2023-02-13,15.05,15.3,14.85
2023-02-14,15.0,15.05,15.0
2023-02-15,14.9,15.0,14.9
2023-02-16,15.0,15.3,14.9
2023-02-17,15.0,15.0,14.9
2023-02-20,15.0,15.25,14.85
2023-02-21,15.0,15.1,15.0
2023-02-22,14.95,14.95,14.95
2023-02-23,15.05,15.05,14.95
2023-02-24,15.0,15.0,14.95
2023-03-01,15.0,15.0,14.9
2023-03-02,14.95,15.25,14.85
2023-03-03,14.95,14.95,14.9
2023-03-06,15.0,15.0,14.9
2023-03-07,14.9,15.0,14.9
2023-03-08,15.0,15.1,14.9
2023-03-09,14.9,15.1,14.9
2023-03-10,15.0,15.45,15.0
2023-03-13,15.0,15.5,14.9
2023-03-14,14.95,15.25,14.75
2023-03-15,14.9,15.05,14.7
2023-03-16,14.8,15.15,14.75
2023-03-17,15.1,15.2,14.8
2023-03-20,15.05,15.1,15.0
2023-03-21,15.0,15.4,15.0
2023-03-22,14.9,15.15,14.75
2023-03-23,15.15,15.15,15.05
2023-03-24,15.1,15.25,15.1
2023-03-27,15.0,15.1,15.0
2023-03-28,15.0,15.05,15.0
2023-03-29,15.0,15.3,14.8
2023-03-30,15.0,15.05,15.0
2023-03-31,15.05,15.35,15.0
2023-04-06,15.1,15.1,14.95
2023-04-07,15.15,15.4,15.05
2023-04-10,15.2,15.2,15.15
2023-04-11,15.15,15.25,15.05
2023-04-12,15.05,15.25,15.05
2023-04-13,15.05,15.3,14.9
2023-04-14,15.05,15.05,15.0
2023-04-17,15.0,15.1,15.0
2023-04-18,15.15,15.15,15.05
2023-04-19,15.05,15.15,15.05
2023-04-20,15.05,15.1,15.0
2023-04-21,15.0,15.1,14.95
2023-04-24,15.1,15.4,15.0
2023-04-25,15.05,15.3,14.95
2023-04-26,15.6,15.8,14.95
2023-04-27,17.15,17.15,15.6
2023-04-28,16.7,18.3,16.4
2023-05-02,16.4,16.55,16.15
2023-05-03,18.0,18.0,16.4
2023-05-04,17.4,18.75,17.4
2023-05-05,17.2,17.8,17.2
2023-05-08,17.0,17.6,16.6
2023-05-09,17.4,18.3,17.3
2023-05-10,16.95,17.3,16.75
2023-05-11,16.5,17.4,16.5
2023-05-12,16.65,16.75,16.4
2023-05-15,16.35,16.85,16.35
2023-05-16,17.25,17.95,16.5
2023-05-17,17.2,17.7,17.15
2023-05-18,17.05,17.4,17.05
2023-05-19,17.15,18.15,17.15
2023-05-22,17.15,17.3,17.05
2023-05-23,17.2,17.5,17.15
2023-05-24,17.25,17.35,17.1
2023-05-25,17.0,17.3,16.95
2023-05-26,16.8,17.05,16.7
2023-05-29,16.8,16.95,16.6
2023-05-30,16.8,16.85,16.7
2023-05-31,16.9,17.0,16.85
2023-06-01,17.1,17.4,16.9
2023-06-02,17.3,18.0,17.15
2023-06-05,17.45,17.6,17.35
2023-06-06,17.4,17.85,17.25
2023-06-07,17.25,17.35,17.15
2023-06-08,16.95,17.4,16.95
2023-06-09,16.95,17.2,16.8
2023-06-12,16.75,17.15,16.7
2023-06-13,16.9,16.9,16.8
2023-06-14,16.9,16.9,16.85
2023-06-15,16.9,16.95,16.9
2023-06-16,16.9,17.1,16.7
2023-06-19,16.9,16.9,16.75
2023-06-20,17.2,17.35,16.8
2023-06-21,16.9,17.1,16.9
2023-06-26,16.8,17.0,16.8
2023-06-27,16.8,16.9,16.8
2023-06-28,16.9,16.95,16.75
2023-06-29,16.9,17.0,16.9
2023-06-30,17.0,17.0,16.95
2023-07-03,16.9,17.1,16.8
2023-07-04,17.05,17.1,16.85
2023-07-05,17.35,17.45,17.05
2023-07-06,17.5,17.7,17.4
2023-07-07,16.95,17.2,16.8
2023-07-10,16.8,16.95,16.8
2023-07-11,16.6,16.8,16.6
2023-07-12,16.45,16.6,16.45
2023-07-13,16.25,16.45,16.25
2023-07-14,16.45,16.7,16.15
2023-07-17,16.3,16.55,16.25
2023-07-18,16.0,16.3,16.0
2023-07-19,15.9,16.15,15.9
2023-07-20,16.1,16.3,16.1
2023-07-21,16.05,16.1,16.0
2023-07-24,16.35,16.5,16.05
2023-07-25,16.4,16.6,16.3
2023-07-26,16.25,16.6,16.15
2023-07-27,16.25,16.35,16.2
2023-07-28,16.1,16.2,16.05
2023-07-31,16.05,16.15,16.05
2023-08-01,16.05,16.1,15.95
2023-08-02,16.1,16.2,16.05
2023-08-04,16.0,16.05,16.0
2023-08-07,16.0,16.05,15.95
2023-08-08,15.85,16.0,15.85
2023-08-09,15.7,15.8,15.7
2023-08-10,15.5,15.65,15.45
2023-08-11,15.5,15.5,15.45
2023-08-14,15.1,15.5,15.1
2023-08-15,15.1,15.2,15.1
2023-08-16,15.1,15.15,15.1
2023-08-17,15.15,15.2,15.05
2023-08-18,15.2,15.3,15.15
2023-08-21,15.2,15.25,15.2
2023-08-22,15.2,15.2,15.15
2023-08-23,15.3,15.35,15.2
2023-08-24,15.4,15.4,15.25
2023-08-25,15.4,15.4,15.35
2023-08-28,15.2,15.3,15.2
2023-08-29,15.25,15.5,15.25
2023-08-30,15.35,15.4,15.25
2023-08-31,15.4,15.4,15.35
2023-09-01,15.55,15.6,15.55
2023-09-04,15.85,16.0,15.6
